timestamp,air_temperature
1630447200,15.825
1630450800,15.37
1630454400,14.875
1630458000,14.615
1630461600,14.185
1630465200,13.93
1630468800,13.8
1630472400,13.925
1630476000,17.365
1630479600,19.98
1630483200,21.915
1630486800,24.685
1630490400,25.98
1630494000,26.02
1630497600,26.75
1630501200,28.1
1630504800,27.56
1630508400,27.275
1630512000,26.43
1630515600,23.665
1630519200,19.53
1630522800,17.715
1630526400,17.21
1630530000,17.1
1630533600,16.27
1630537200,15.8
1630540800,14.86
1630544400,14.64
1630548000,14.335
1630551600,14.165
1630555200,13.925
